MatrixName,Size,MemoryDiff,Time,Error
ex15.mat,568315,4554752,1.9387788772583008,5.907681163055393e-07
shallow_water1.mat,2316415,48717824,3.7988150119781494,1.929368153213884e-16
apache2.mat,8501019,1486921728,168.53802847862244,3.57981554647645e-11
parabolic_fem.mat,13430627,0,20.47401714324951,6.472721719523311e-13
G3_circuit.mat,14164910,0,69.4897768497467,3.787414790776039e-12
cfd1.mat,14503159,0,10.415574550628662,3.6213639157707203e-14
cfd2.mat,23748539,0,18.498281955718994,1.9047483359158252e-13
